Event ID,Disease,lat,lon,Locality,Country,Region,Location,observation date,report date,Date,Animal Type,Animal Species,Species,Diagnosis Status,Humans Affected,Human Deaths,Diagnosis Source,cluster
378600,African swine fever,52.39814,17.00064,OB_134557 - 2024/723 - POZNA,Poland,Europe,"OB_134557 - 2024/723 - POZNA, Poland, Europe",2024-04-29,2024-05-13,2024-04-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
379344,African swine fever,52.399939,17.004688,OB_134834 - 2024/787 - POZNA,Poland,Europe,"OB_134834 - 2024/787 - POZNA, Poland, Europe",2024-05-17,2024-05-24,2024-05-17,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
379740,African swine fever,52.401945,16.996566,OB_135022 - 2024/812 - POZNA,Poland,Europe,"OB_135022 - 2024/812 - POZNA, Poland, Europe",2024-05-22,2024-05-31,2024-05-22,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
379739,African swine fever,52.401345,17.005222,OB_135023 - 2024/813 - POZNA,Poland,Europe,"OB_135023 - 2024/813 - POZNA, Poland, Europe",2024-05-22,2024-05-31,2024-05-22,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
379737,African swine fever,52.402365,17.001793,OB_135025 - 2024/825 - POZNA,Poland,Europe,"OB_135025 - 2024/825 - POZNA, Poland, Europe",2024-05-24,2024-05-31,2024-05-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
380110,African swine fever,52.39875,17.00875,OB_135185 - 2024/857 - POZNA,Poland,Europe,"OB_135185 - 2024/857 - POZNA, Poland, Europe",2024-05-29,2024-06-07,2024-05-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
380109,African swine fever,52.39986,16.99523,OB_135186 - 2024/858 - POZNA,Poland,Europe,"OB_135186 - 2024/858 - POZNA, Poland, Europe",2024-05-30,2024-06-07,2024-05-30,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
380107,African swine fever,52.479012,16.90747,OB_135188 - 2024/860 - POZNA,Poland,Europe,"OB_135188 - 2024/860 - POZNA, Poland, Europe",2024-06-03,2024-06-07,2024-06-03,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
381341,African swine fever,52.399831,17.001766,OB_135393 - 2024/886 - POZNA,Poland,Europe,"OB_135393 - 2024/886 - POZNA, Poland, Europe",2024-06-04,2024-06-13,2024-06-04,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
381344,African swine fever,52.398805,17.013812,OB_135390 - 2024/883 - POZNA,Poland,Europe,"OB_135390 - 2024/883 - POZNA, Poland, Europe",2024-06-05,2024-06-13,2024-06-05,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
381343,African swine fever,52.396771,17.005791,OB_135391 - 2024/884 - POZNA,Poland,Europe,"OB_135391 - 2024/884 - POZNA, Poland, Europe",2024-06-05,2024-06-13,2024-06-05,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
